trial_id,lab_id,platform_id,attachment_id,date,outcome,completion_time_s,n_attempts,n_regrasps,stage_reached,notes
1,,,valve_ball,,,,,,,
2,,,valve_ball,,,,,,,
3,,,valve_ball,,,,,,,
4,,,valve_ball,,,,,,,
5,,,valve_ball,,,,,,,
6,,,valve_ball_ring,,,,,,,
7,,,valve_ball_ring,,,,,,,
8,,,valve_ball_ring,,,,,,,
9,,,valve_ball_ring,,,,,,,
10,,,valve_ball_ring,,,,,,,
11,,,valve_gate_small,,,,,,,
12,,,valve_gate_small,,,,,,,
13,,,valve_gate_small,,,,,,,
14,,,valve_gate_small,,,,,,,
15,,,valve_gate_small,,,,,,,
16,,,valve_gate_large,,,,,,,
17,,,valve_gate_large,,,,,,,
18,,,valve_gate_large,,,,,,,
19,,,valve_gate_large,,,,,,,
20,,,valve_gate_large,,,,,,,
21,,,circuit_breaker,,,,,,,
22,,,circuit_breaker,,,,,,,
23,,,circuit_breaker,,,,,,,
24,,,circuit_breaker,,,,,,,
25,,,circuit_breaker,,,,,,,
26,,,light_bulb,,,,,,,
27,,,light_bulb,,,,,,,
28,,,light_bulb,,,,,,,
29,,,light_bulb,,,,,,,
30,,,light_bulb,,,,,,,
31,,,thread_m8,,,,,,,
32,,,thread_m8,,,,,,,
33,,,thread_m8,,,,,,,
34,,,thread_m8,,,,,,,
35,,,thread_m8,,,,,,,
36,,,thread_m30,,,,,,,
37,,,thread_m30,,,,,,,
38,,,thread_m30,,,,,,,
39,,,thread_m30,,,,,,,
40,,,thread_m30,,,,,,,
41,,,peg_insertion,,,,,,,
42,,,peg_insertion,,,,,,,
43,,,peg_insertion,,,,,,,
44,,,peg_insertion,,,,,,,
45,,,peg_insertion,,,,,,,
46,,,button,,,,,,,
47,,,button,,,,,,,
48,,,button,,,,,,,
49,,,button,,,,,,,
50,,,button,,,,,,,
51,,,lock,,,,,,,
52,,,lock,,,,,,,
53,,,lock,,,,,,,
54,,,lock,,,,,,,
55,,,lock,,,,,,,
56,,,drawer,,,,,,,
57,,,drawer,,,,,,,
58,,,drawer,,,,,,,
59,,,drawer,,,,,,,
60,,,drawer,,,,,,,
61,,,shock_absorber,,,,,,,
62,,,shock_absorber,,,,,,,
63,,,shock_absorber,,,,,,,
64,,,shock_absorber,,,,,,,
65,,,shock_absorber,,,,,,,
